WARNING 2024-10-14 00:38:45,745 models excute select_network() not exist sensor_network matched topic:ICCMS/Test Location1/Test Location2/Test Device2/Test Device1/Test Sensor1/Register
DEBUG 2024-10-16 15:24:50,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:50,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:51,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:51,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:52,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:52,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:53,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:54,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:54,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:55,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:55,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:56,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:56,003 tasks excute check_plug()
DEBUG 2024-10-16 15:24:57,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:58,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:58,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:59,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:59,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:00,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:00,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:01,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:01,003 tasks excute check_plug()
DEBUG 2024-10-16 15:25:02,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:02,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:03,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:03,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:04,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:04,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:05,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:05,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:06,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:06,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:07,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:08,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:09,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:09,001 tasks excute check_plug()
